name,description,active,sku,weight,meta__edit_last,meta__edit_lock,image,category
"A24Extra","",,"95","0pound","1","1326818127:1","http://pfetec.com/wp/wordpress/wp-content/uploads/2012/01/A24Extra.jpg","Products->Abrasives|Products->Abrasives->Bonded Abrasives|Brand|Products->Abrasives->Bonded Abrasives->Cutting Discs/Wheels|Brand->Klingspor|Products"
"A 24 R Supra","",,"89","0pound","1","1326817912:1","http://pfetec.com/wp/wordpress/wp-content/uploads/2012/01/A24R36Special.jpg","Products->Abrasives|Products->Abrasives->Bonded Abrasives|Brand|Products->Abrasives->Bonded Abrasives->Cutting Discs/Wheels|Brand->Klingspor|Products"
